final_price,list_price,bedrooms,Dens,bathrooms,size,parking,type,latitude,longitude,mean_district_income,district_code,School_min_dist_km
390000,389000,2,0,2,1100,1,Condo Apt,43.7592624,-79.5853418,26548,2,0.834125172
540000,540000,4,0,2,1500,1,Condo Townhouse,43.7388584,-79.5903779,26548,2,0.263176394
565000,569988,3,1,3,1300,1,Condo Townhouse,43.7370405,-79.5917013,26548,2,0.146083728
370000,377000,2,1,2,1300,1,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
840000,859000,3,0,3,1750,4,Detached,43.752485,-79.58995,26548,2,0.415167693
320400,319900,1,1,1,650,1,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
400000,405000,2,0,2,1300,1,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
418000,425900,2,1,2,1300,1,Comm Element Condo,43.7590096,-79.5885685,26548,2,0.853072762
400000,419901,2,0,2,1300,1,Condo Apt,43.7495489,-79.5807504,26548,2,0.414446786
412500,435000,2,0,2,1100,2,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
525000,525000,3,0,3,1500,1,Condo Townhouse,43.7429783,-79.5946944,26548,2,0.528206279
405000,409000,2,1,2,1100,1,Condo Apt,43.7583999,-79.5864692,26548,2,0.748360759
400001,409999,2,1,2,1100,1,Condo Apt,43.7586168,-79.5875152,26548,2,0.79035475
265000,264900,2,0,1,950,1,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
350000,349900,1,1,2,750,1,Condo Apt,43.7592624,-79.5853418,26548,2,0.834125172
405000,419900,2,0,2,1100,1,Condo Apt,43.7586168,-79.5875152,26548,2,0.79035475
385000,399900,2,0,2,1100,1,Condo Apt,43.7592624,-79.5853418,26548,2,0.834125172
390000,405000,2,1,2,1300,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
295000,299900,2,0,1,950,1,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
455000,459000,2,0,2,1300,2,Condo Apt,43.751128,-79.5828727,26548,2,0.17727946
427000,435000,2,1,2,1100,2,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
407000,414988,2,0,2,1100,2,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
440000,449999,2,0,2,1300,2,Condo Apt,43.7505345,-79.5814686,26548,2,0.307653903
